locustag,title,description,function,product,essential,protID
new30162993016403c,S1119,new RNA feature  5'UTR of ackA,,5'UTR of ackA,,
BSU16010,ylqD,unknown,unknown,unknown,no,O31739
BSU28640,pheS,phenylalanyl-tRNA synthetase (alpha subunit)  universally conserved protein,translation,phenylalanyl-tRNA synthetase (alpha subunit),yes,P17921
BSU15800,yloS,thiamine pyrophosphokinase,thiamine salvage,thiamine pyrophosphokinase,no,O34664
BSU02220,ybfI,similar to transcription factor ([wiki|AraC family]),unknown,unknown,no,O31449
BSU24190,yqiI,secreted N-acetylmuramoyl-L-alanine amidase,cell wall metabolism,peptidoglycan hydrolase,no,P54525
new27980082799197,S1038,new RNA feature  independent transcript,,independent transcript,,
BSU11810,spoVIF,required for spore coat assembly and resistance,required for spore coat assembly and resistance,unknown,no,O31625
BSU22980,ypbG,unknown,unknown,unknown,no,P50733
new34632513463318c,S1291,new RNA feature  5'UTR of opuBA,,5'UTR of opuBA,,
new36221393622219c,S1346,new RNA feature  5'UTR of swrAA/2,,5'UTR of swrAA/2,,
BSU37090,glpX,class II fructose-1 6-bisphosphatase  gluconeogenesis,gluconeogenesis,class II fructose-1 6-bisphosphatase,no,Q03224
BSU30050,murJ,lipid II flippase,export of lipid II,lipid II flippase,no,O34674
BSU06990,rhiG,[wiki|ABC transporter] (membrane protein) for rhamnose oligosaccharides,uptake of rhamnose oligosaccharides,rhamnose oligosaccharide [wiki|ABC transporter],no,O31520
BSU01700,murQ,N-acetyl-muramic acid-6P etherase (cleaves lactate from N-acetylmuramic acid),cell wall turnover,N-acetyl-muramic acid-6P etherase,no,Q45582
BSU11530,coiA,protein involved in establishment of DNA transport in competence,genetic competence,unknown,no,O31604
BSU13840,stoA,thiol-disulfide oxidoreductase  with thioredoxin-like domain  required for the synthesis of the endospore peptidoglycan cortex,spore cortex formation  maturation of [[protein|38FD9805815BBDDD83789F0F402C0FB221B65FF4]] in the forespore outer membrane,thiol-disulfide oxidoreductase,no,O31687
new235329235401c,S82,new RNA feature  5'UTR of glpT,,5'UTR of glpT,,
BSU08560,yfhJ,unknown,unknown,unknown,no,O31578
BSU25820,yqcI,unknown,unknown,unknown,no,P45944
BSU33920,tpi,triose phosphate isomerase  glycolytic/ gluconeogenic enzyme,enzyme in glycolysis/ gluconeogenesis,triosephosphate isomerase,no,P27876
BSU26020,yqbP,similar to phage-related protein,unknown,unknown,no,P45932
new38608763860997c,S1456,new RNA feature  intergenic region,,intergenic region,,
BSU04700,rsbU,protein serine phosphatase  environmental PP2C  dephosphorylates [[protein|AC64DA463250A090A62E50901EFE653C8F963872]],control of [[protein|SigB ]]activity,protein serine phosphatase  environmental PP2C,no,P40399
BSU32640,sspG,small acid-soluble spore protein (minor),protection of spore DNA,small acid-soluble spore protein (minor),no,Q7WY59
BSU10300,aprE,major extracellular alkaline protease,protein degradation,extracellular alkaline serine protease (subtilisin E),no,P04189
BSU06600,pcrB,heptaprenylglyceryl phosphate synthase,unknown,heptaprenylglyceryl phosphate synthase,no,O34790
BSU31560,nupP,[wiki|ABC transporter] for guanosine (membrane protein),uptake of guanosine,[wiki|ABC transporter] for guanosine,no,O05254
BSU24940,sweC,cofactor of the [[protein|8BF7EB539B53D75BD30BD30ABF27106D6A0B030B]]-[[protein|E22D0F0AC56DC95AFC02E7F55FCD5FAA44B6B490]] complex,control of [[protein|4F9D70C4BB4FCA809BEAC341C3F8122FB7FD8872]] activity in peptidoglycan elongation,cofactor of the [[protein|8BF7EB539B53D75BD30BD30ABF27106D6A0B030B]]-[[protein|E22D0F0AC56DC95AFC02E7F55FCD5FAA44B6B490]] complex,no,O32023
new34661573466342c,S1296,new RNA feature  3'UTR of sdpI,,3'UTR of sdpI,,
new5264952719,S29,new RNA feature  5'UTR of veg,,5'UTR of veg,,
BSU12671,xkdN,unknown PBSX prophage protein,unknown,unknown,no,P54333
BSU19650,pgpB,phosphatidylglycerol phosphate (PGP) phosphatase   has minor undecaprenyl pyrophosphate phosphatase activity,phospholipid biosynthesis,phosphatidylglycerol phosphate (PGP) phosphatase,no,O34349
BSU21090,yonH,unknown,unknown,unknown,no,O31950
BSU21140,yonC,unknown,unknown,unknown,no,O31955
BSUmiscRNA39,BSU_misc_RNA_39,null,null,,,
BSU05580,ydgC,similar to transcription factor ([wiki|TetR family]),unknown,unknown,no,P96701
new28407672840964c,pipA,new RNA feature  independent transcript,,independent transcript,,
BSU34780,nahA,RNA pyrophosphohydrolase  converts primary transcripts to 5’-monophosphate RNA,initiation of RNA degradation,RNA pyrophosphohydrolase,no,O06972
BSU06170,fruC,fructokinase,utilization of sucrose and glucitol,fructokinase,no,O34768
BSU15060,tmcAL,tRNA<sup>Met</sup> cytidine acetate ligase  required for proper decoding of the AUA elongator Met codon,acetylation of elongator tRNA<sup>Met</sup>,tRNA<sup>Met</sup> cytidine acetate ligase,no,O34513
new925460925632,S288,new RNA feature  5'UTR of recX,,5'UTR of recX,,
BSU35020,nagB,glucosamine-6-phosphate deaminase,N-acetylglucosamine utilization,glucosamine-6-phosphate deaminase,no,O35000
BSU31330,yugN,unknown,unknown,unknown,no,O05246
BSU18380,iseA,secreted inhibitor of cell wall endopeptidases  inhibits cell separation,protection against cell envelope stress,inhibitor of autolysins,no,O34841
BSU01290,rpsN,ribosomal protein (uS14),translation,ribosomal protein S14 (uS14),yes,P12878
BSU11180,yitZ,similar to multidrug resistance protein,unknown,unknown,no,P70952
BSU35239,swrAA/2,control of [[protein|D343D2096664A972026D911E7A17A35C7B1CD1C9]] activity  enhances [[gene|7024E4162A6D827069F882FDEACA696EBC05DD40]] transcription  part of the [[gene|5D479874B43F521DB52EDC2C27CDE4967F22DE47]] pseudogene,essential for swarming differentiation on solid surfaces,swarming motility protein,no,
new25964392596534,S945,new RNA feature  intergenic region,,intergenic region,,
new238449238569c,S84,new RNA feature  5'UTR of ybfE,,5'UTR of ybfE,,
BSU01440,rplQ,ribosomal protein bL17,translation,ribosomal protein L17 (bL17),yes,P20277
BSU34230,epsN,UDP-2 6-dideoxy 2-acetamido 4-keto glucose aminotransferase  required for extracellular polysaccharide synthesis,[[category|SW.4.1.2]]  biosynthesis of UDP-N N’-diacetylbacillosamine (with [[protein|5DB168A3D087AAEB003D7548A1A4356ABD07F712]] and [[protein|40EA584CF77FFF7D7E4E74B414EC69ADE3A1585B]]),UDP-2 6-dideoxy 2-acetamido 4-keto glucose aminotransferase,no,Q795J3
new593206593301c,S188,new RNA feature  5'UTR of nap,,5'UTR of nap,,
new20701202070243c,S719,new RNA feature  intergenic region,,intergenic region,,
BSU16070,ylqG,unknown,unknown,unknown,no,O31745
new37077083707818,S1383,new RNA feature  intergenic region,,intergenic region,,
BSU31990,dhbC,isochorismate synthase,biosynthesis of the siderophore bacillibactin,isochorismate synthase,no,P45744
BSU35080,pchR,transcriptional repressor ([wiki|MarR family])  controls the expression of genes involved in pulcherriminic acid biosynthesis,control of pulcherriminic acid biosynthesis,transcription factor ([wiki|MarR family]),no,P40762
BSU17267,ymzE/2,part of the ymzE pseudogene,unknown,unknown,-,
BSU24950,pstBB,phosphate [wiki|ABC transporter ](ATP-binding protein),high-affinity phosphate uptake,phosphate [wiki|ABC transporter] (ATP-binding protein),no,P46342
new38093703809496c,S1439,new RNA feature  5'UTR of fbaA,,5'UTR of fbaA,,
new10085531008622,S324,new RNA feature  intergenic region,,intergenic region,,
BSU11420,trpS,tryptophanyl-tRNA synthetase,translation,tryptophanyl-tRNA synthetase,yes,P21656
BSU15090,gerR,probably DNA-binding protein  regulates transcription of some spore coat genes,spore coat formation and resistance of spores to lysozyme,unknown,no,O34549
BSU06020,groES,chaperonin  universally conserved protein,protein folding and re-folding,chaperonin,yes,P28599
new23096482309785c,S830,new RNA feature  5'UTR of ypeP,,5'UTR of ypeP,,
new196132196212,S68,new RNA feature  5'UTR of cdaA,,5'UTR of cdaA,,
BSU26990,yraD,forespore-specific sporulation protein  similar to spore coat protein,unknown,unknown,no,O06010
BSU00150,dgk,deoxyguanosine kinase,purine salvage and interconversion,deoxyguanosine kinase,no,P37530
BSU06430,purK,phosphoribosylaminoimidazole carboxylase (ATP-dependent),purine biosynthesis,phosphoribosylaminoimidazole carboxylase (ATP-dependent),no,P12045
BSU39290,yxxD,antitoxin,inhibition of the cytotoxic activity of [[protein|BD8C0563C7123B6DEC1EEB602BDF2C9D92D34991]],antitoxin,yes,P40737
BSU02700,lip,extracellular lipase,lipid degradation,extracellular lipase,no,P37957
BSU28890,yscB,unknown,unknown,unknown,no,P94517
BSU39840,yxbG,general stress protein  similar to glucose 1-dehydrogenase,unknown,unknown,no,P46331
BSU29290,sndA,sulphur compound N-deacetylase  required for the conversion of S-methyl-cysteine to cysteine,utilization of S-methyl-cysteine,sulphur compound N-deacetylase,no,O34980
BSU22170,ypsC,similar to SAM-dependent 23S rRNA methyltransferase,rRNA modification,23S rRNA methyltransferase,no,P50840
new32941703294254c,S1231,new RNA feature  5'UTR of yuiH,,5'UTR of yuiH,,
new26055982605729c,S955,new RNA feature  5'UTR of ccpN,,5'UTR of ccpN,,
BSU20960,yopA,unknown,unknown,unknown,no,O31937
BSU28440,sdhA,succinate dehydrogenase (flavoprotein subunit),TCA cycle,succinate dehydrogenase (flavoprotein subunit),no,P08065
new39651343966683c,S1482,new RNA feature  3'UTR of yxlG,,3'UTR of yxlG,,
BSU33540,azoR2,similar to NAD(P)H dehydrogenase (quinone),resistance to 2-methylhydroquinone,azoreductase,no,O32224
new36088433609333c,S1340,new RNA feature  5'UTR of yvlA,,5'UTR of yvlA,,
new41676244168153,S1562,new RNA feature  intergenic region,,intergenic region,,
new33880093388287c,S1272,new RNA feature  5'UTR of yirB,,5'UTR of yirB,,
BSU01100,rpsL,ribosomal protein uS12,translation,ribosomal protein S12 (uS12),yes,P21472
BSU06000,ydiK,unknown lipoprotein,unknown,unknown,no,O05524
BSU07440,yfmK,Nε-lysine acetyltransferase  acetylation of the histone-like protein [[protein|EFD8FC875B6787B1512C5FC4C81E7E4C9BD93028|HBsu]],acetylation of the histone-like protein [[protein|EFD8FC875B6787B1512C5FC4C81E7E4C9BD93028|HBsu]]  regulation of nucleoid compaction,Nε-lysine acetyltransferase,no,O34536
BSU37570,mmr,methylenomycin A resistance protein,resistance to methylenomycin A,methylenomycin A resistance protein,no,Q00538
new756987757065,S246,new RNA feature  intergenic region,,intergenic region,,
new39073153907453c,S1467,new RNA feature  5'UTR of ywcI,,5'UTR of ywcI,,
BSU25300,cdd,cytidine deaminase,pyrimidine interconversion,cytidine deaminase,no,P19079
BSU06700,yerO,similar to transcriptional regulator ([wiki|TetR family]),unknown,unknown,no,O31500
new676139676441,S222,new RNA feature  5'UTR of iolT,,5'UTR of iolT,,
BSU28250,leuD,3-isopropylmalate dehydratase (small subunit),biosynthesis of leucine,3-isopropylmalate dehydratase (small subunit),no,P94568
BSU08690,ygaD,similar to [wiki|ABC transporter] (fused ATP-binding and membrane protein),unknown,[wiki|ABC transporter] (fused ATP-binding and membrane protein),no,P71082
BSUmiscRNA91,pswI,,,,,
new29875482987649c,S1104,new RNA feature  5'UTR of pfkA,,5'UTR of pfkA,,
BSU37730,bacB,oxidase that catalyzes the synthesis of 2-oxo-3-(4-oxocyclohexa-2 5-dienyl)propanoic acid  a precursor to L-anticapsin,biosynthesis of the antibiotic bacilysin,oxidase,no,P39639
BSUrRNA29,rrnH-23S,23S rRNA,translation,ribosomal RNA-23S,no,
BSU15110,ylbQ,2-dehydropantoate 2-reductase,biosynthesis of coenzyme A,2-dehydropantoate 2-reductase,no,O34661
BSU25740,yqeB,unknown,unknown,unknown,no,P54447
BSU18909,yozZ,unknown  putative pseudogene,unknown,unknown,-,
BSU32390,yunF,unknown,unknown,unknown,no,O32135
BSU32270,yutH,spore coat protein,protection of the spore,spore coat protein,no,O32123
new23332122333323c,S840,new RNA feature  intergenic region,,intergenic region,,
BSU33200,yvrE,glucono-lactonase  general stress protein  similar to senescence marker protein-30,survival of salt stress,glucono-lactonase,no,O34940
BSU33270,yvrO,similar to amino acid [wiki|ABC transporter ](ATP-binding protein),unknown,[wiki|ABC transporter ](ATP-binding protein),no,O34979
BSU21930,cspD,cold shock protein,RNA chaperone,cold shock protein,no,P51777
BSU01810,adaA,trigger enzyme,adaptive response to alkylative DNA damage,trigger enzyme,no,P19219
BSU22150,ypvA,similar to ATP-dependent helicase,unknown,unknown,no,P50831
new27957362795840c,S1037,new RNA feature  5'UTR of yrrM,,5'UTR of yrrM,,
new12532531253384,S424,new RNA feature  intergenic region,,intergenic region,,
BSU08400,yfiU,similar to multidrug-efflux transporter,unknown,unknown,no,O31563
new21696772170029c,S770,new RNA feature  intergenic region,,intergenic region,,
BSU19410,cwlS,D L-endopeptidase  peptidoglycan hydrolase for cell separation,cell separation,D L-endopeptidase  peptidoglycan hydrolase,no,O31852
BSU33190,yvrD,similar to ketoacyl-carrier protein reductase,unknown,unknown,no,O34782
BSU11200,argJ,N-acetylglutamate synthase,biosynthesis of arginine,N-acetylglutamate synthase,no,P36843
BSU01000,secE,preprotein translocase subunit,protein secretion,preprotein translocase subunit,yes,Q06799
BSU13960,ykwC,beta-hydroxyacid dehydrogenase,unknown,beta-hydroxyacid dehydrogenase,no,O34948
BSUtRNA68,trnB-Gly2,,translation,transfer RNA-Gly,no,
BSU13545,BSU_13545,,,,,
new25867042586996c,S937,new RNA feature  5'UTR of yqgC,,5'UTR of yqgC,,
BSU30090,yteU,unknown,unknown,unknown,no,O34378
new25717982571906c,S933,new RNA feature  intergenic region,,intergenic region,,
BSU18740,yozG,similar to transcription regulator ([wiki|Xre family]),unknown,unknown,no,O31834
new19073341907493,S650,new RNA feature  5'UTR of yndD,,5'UTR of yndD,,
BSU28270,leuB,3-isopropylmalate dehydrogenase,biosynthesis of leucine,3-isopropylmalate dehydrogenase,no,P05645
BSU31510,yufK,unknown,unknown,unknown,no,O05249
BSU31500,yuxK,unknown,unknown,unknown,no,P40761
BSU04470,dctP,uptake of succinate  fumarate  malate and oxaloacetate via proton symport,uptake of succinate  fumurate  malate and oxaloacetate,C4-dicarboxylate transport protein,no,P96603
new24919492492028c,S909,new RNA feature  intergenic region,,intergenic region,,
new37170983717211c,S1387,new RNA feature  5'UTR of cotH,,5'UTR of cotH,,
new22737242273988c,SR4,antitoxin RNA  inhibits [[gene|24A1B22DE468F187B6631D3D4E214B64CB8BB4DD]] translation and causes destabilization of the [[gene|24A1B22DE468F187B6631D3D4E214B64CB8BB4DD]] mRNA,protection of the cell,antitoxin RNA,,
new24568902457210c,S894,new RNA feature  intergenic region,,intergenic region,,
new30594023059490c,S1145,new RNA feature  5'UTR of ytnP,,5'UTR of ytnP,,
new32225303223451,S1197,new RNA feature  independent transcript,,independent transcript,,
new39183323918517c,S1472,new RNA feature  5'UTR of qoxA,,5'UTR of qoxA,,
BSU38480,sasA,(p)ppGpp synthetase  small alarmone synthetase  contributes to cellular heterogeneity in protein synthesis during nutrient limitation,ppGpp synthesis independent from stringent response,(p)ppGpp synthetase,no,P39583
new154838155119,S59,new RNA feature  5'UTR of ybaJ,,5'UTR of ybaJ,,
new20930132093780,S733,new RNA feature  independent transcript,,independent transcript,,
BSU34200,sigL,[wiki|sigma factor ]of the [wiki|RNA polymerase]  Sigma-54  Sigma L,utilization of arginin  acetoin and fructose  required for cold adaptation,[wiki|RNA polymerase] sigma-54 factor (sigma-L),no,P24219
new38496173849712c,S1452,new RNA feature  5'UTR of speE,,5'UTR of speE,,
BSU23900,yqjF,unknown,unknown,unknown,no,P54543
BSU39330,abn2,endo-1 5-alpha-L-arabinosidase,arabinan degradation,endo-1 5-alpha-L-arabinosidase,no,P42293
new27402382740411,S1007,new RNA feature  intergenic region,,intergenic region,,
BSU09940,yhaL,[[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]]-dependent [wiki|sporulation] gene,[[category|SW.4.2]],unknown,no,O07520
BSU32260,hom,homoserine dehydrogenase (NADPH),biosynthesis of methionine and threonine,homoserine dehydrogenase (NADPH),no,P19582
BSU08800,ygaK,uncharacterized FAD-linked oxidoreductase,unknown,unknown,no,Q796Y5
new40969914097415,S1534,new RNA feature  independent transcript,,independent transcript,,
BSU15120,bshC,cysteine-adding enzyme required for the synthesis of bacillithiol,biosynthesis of bacillithiol,cysteine-adding enzyme,no,P55342
BSU10780,yisN,unknown,unknown,unknown,no,O06727
BSUtRNA5,trnO-Ile,null,translation,transfer RNA-Ile,no,
BSU27960,rplU,ribosomal protein bL21,translation,ribosomal protein L21 (bL21),yes,P26908
BSU19750,cgeE,maturation of the outermost layer of the spore,maturation of the outermost layer of the spore,unknown,no,P42093
BSU16825,ymfD,exporter for the siderophore bacillibactin,iron acquisition,bacillibactin exporter,no,O31762
BSU25380,floA,flottilin-like protein (in addition to [[protein|61893B4EB53FBBB9AD8BEEEFFCEFD0FC64544D6F]])  resistence protein (against sublancin)  accessory role in resistance to cefuroxime,control of membrane fluidity,flottilin-like protein,no,P54466
BSU32340,lytH,differentiation-associated peptidoglycan hydrolase involved in endospore cortex maturation,endospore cortex maturation,peptidoglycan hydrolase,no,O32130
new29846962984787c,S1103,new RNA feature  intergenic region,,intergenic region,,
BSU31440,patB,cystathione-beta-lyase,biosynthesis of methionine,cystathione-beta-lyase,no,Q08432
BSU21200,yomW,unknown,unknown,unknown,no,O31961
